RXCUI,ATC4,ATC2
1795339,L04AC,L04
1925211,L04AC,L04
1802215,J05AP,J05
1855527,L04AB,L04
1855524,L04AB,L04
1921245,L04AB,L04
1726846,L04AB,L04
847745,J05AR,J05
763565,L04AB,L04
1747577,L01XX,L01
1747579,L01XX,L01
1747567,L01XX,L01
1747580,L01XX,L01
1551888,L04AB,L04
1921010,L04AB,L04
1488619,L02AE,L02
1488617,L02AE,L02
1921468,L04AB,L04
1099650,N03AG,N03
213298,H05BX,H05
152971,J05AE,J05
1115464,L02AE,L02
1115449,L02AE,L02
1115456,L02AE,L02
1594358,L04AB,L04
1940709,J05AP,J05
1599852,N04BA,N04
1483340,A12BA,A12
1310202,N02BE,N02
1310212,N02BE,N02
1310270,N02BE,N02
1541594,A12BA,A12
1659656,J05AP,J05
1597388,J05AP,J05
835896,L04AD,L04
835835,L04AD,L04
828381,C10AB,C10
828377,C10AB,C10
544518,C10AB,C10
540281,C10AB,C10
1486200,J05AP,J05
1098142,C04AC,C04
1098144,C04AC,C04
1098135,C04AC,C04
670031,A12BA,A12
1486203,J05AP,J05
897785,C08DA,C08
897846,C08DA,C08
897855,C08DA,C08
900577,J05AE,J05
1115468,L02AE,L02
1926069,J05AE,J05
1115459,L02AE,L02
1115473,L02AE,L02
1946522,L02AE,L02
966271,H03AA,H03
208594,N03AC,N03
727705,L04AB,L04
847749,J05AR,J05
606859,H05BX,H05
727703,L04AB,L04
966158,H03AA,H03
210677,M03AC,M03
210676,M03AC,M03
541963,N01AB,N01
966247,H03AA,H03
352076,H05BX,H05
966171,H03AA,H03
966282,H03AA,H03
966250,H03AA,H03
847741,J05AR,J05
966191,H03AA,H03
966201,H03AA,H03
966205,H03AA,H03
966251,H03AA,H03
966218,H03AA,H03
835892,L04AD,L04
606854,H05BX,H05
966185,H03AA,H03
1115259,L02AE,L02
854236,B01AB,B01
854239,B01AB,B01
854242,B01AB,B01
854249,B01AB,B01
854232,B01AB,B01
854256,B01AB,B01
854247,B01AB,B01
854253,B01AB,B01
1860486,L01CD,L01
1087367,A03BA,A03
1037236,A03BA,A03
1047791,A03BA,A03
1101637,A03BA,A03
212844,L04AD,L04
212957,L04AD,L04
105330,D01AE,D01
207194,H01CB,H01
207198,H01CB,H01
207200,H01CB,H01
207199,H01CB,H01
207201,H01CB,H01
212810,L04AD,L04
197552,L04AD,L04
835909,L04AD,L04
835911,L04AD,L04
153124,L02BG,L02
835899,L04AD,L04
200284,C03AA,C03
809018,C03AA,C03
200285,C03AA,C03
226665,N06DA,N06
226666,N06DA,N06
226667,N06DA,N06
226668,N06DA,N06
261318,N04BX,N04
1656650,L04AC,L04
261360,N03AF,N03
310172,G03CA,G03
310176,G03CA,G03
1149634,G03CA,G03
310183,G03CA,G03
284529,A10BX,A10
284530,A10BX,A10
687048,C10AA,C10
351992,N03AF,N03
351761,C09CA,C09
351762,C09CA,C09
352001,C09CA,C09
898342,C08CA,C08
284378,G03CA,G03
1091167,N06BA,N06
1091182,N06BA,N06
1091197,N06BA,N06
898346,C08CA,C08
899559,N06BA,N06
899519,N06BA,N06
899549,N06BA,N06
809022,C03AA,C03
349353,C03AA,C03
898359,C08CA,C08
616450,L04AA,L04
616449,L04AA,L04
351945,M05BA,M05
404588,L01XE,L01
898352,C08CA,C08
898355,C08CA,C08
898358,C08CA,C08
404551,N04BX,N04
404552,N04BX,N04
404553,N04BX,N04
